Category,Sub-Category,Feature / Item,Description,Status,Phase,Priority,Notes
SCHEMA,New Collections,messages,In-app chat messages scoped to engagement,To Do,Week 1,P0,
SCHEMA,New Collections,reports,Issue reports against Local Experts,To Do,Week 1,P0,
SCHEMA,New Collections,payments,Razorpay payment records,To Do,Week 1,P0,
SCHEMA,New Collections,wallet_transactions,Every credit/debit with reason + reference,To Do,Week 1,P0,
SCHEMA,New Collections,worker_waitlist,Customers waiting for a specific Local Expert,To Do,Week 1,P0,
SCHEMA,New Collections,skill_badges,Auto-awarded achievement badges per Local Expert,To Do,Week 1,P0,
BACKEND CORE,Auth,Remove role from signup,Users created with is_worker=False is_customer=True,To Do,Week 1,P0,
BACKEND CORE,Auth,Compute role in response,role = worker if is_worker else customer — for WhatsApp bot compat,To Do,Week 1,P0,Do not store role manually
BACKEND CORE,Auth,Update all role guards,role != worker → not is_worker / role != customer → not is_customer,To Do,Week 1,P0,8 places to change
BACKEND CORE,Auth,POST /api/workers/become-worker,Any user creates Local Expert profile,To Do,Week 1,P0,
BACKEND CORE,Auth,Remove customer-only gate on jobs,Anyone can post a job,To Do,Week 1,P0,
BACKEND CORE,Auth,Notification deep links,kaamnow://engagement/:id in every push payload,To Do,Week 1,P0,
BACKEND CORE,Auth,Auto skill badge awards,Triggered on engagement completion by backend,To Do,Week 2,P1,
BACKEND CORE,Auth,Delete bookings.py router,Legacy — fully replaced by engagements,To Do,Week 1,P0,
BACKEND CORE,Auth,Remove pandas + numpy,Unused dependencies,To Do,Week 1,P0,
BACKEND CORE,i18n,backend/i18n/en.py,All notification copy in English — plain respectful language,To Do,Week 1,P0,
BACKEND CORE,i18n,backend/i18n/hi.py,All notification copy in Hindi,To Do,Week 1,P0,
BACKEND CORE,i18n,Language picked from DB,_notify() selects language from user.preferred_language,To Do,Week 1,P0,
BACKEND CORE,Security,CSRF header check,X-Requested-With on all state-changing endpoints,To Do,Week 1,P0,
BACKEND CORE,Security,max_length validators,bio:500 description:1000 comment:300 caption:100,To Do,Week 1,P0,
BACKEND CORE,Security,MIME type verification,Actual file type checked not just Content-Type header,To Do,Week 1,P0,
BACKEND CORE,Security,Rate limiting on all endpoints,Every new endpoint has slowapi rate limit,To Do,Week 1,P0,
BACKEND CORE,Security,Job date validation,job_date must be >= today,To Do,Week 1,P0,
BACKEND CORE,Security,Cert upload limit,Max 5 certifications per Local Expert,To Do,Week 1,P0,
BACKEND CORE,Security,Chat rate limit,30 messages per minute per user,To Do,Week 2,P0,
BACKEND CORE,Security,Admin role re-verified,Every admin endpoint checks role on each request,To Do,Week 1,P0,
BACKEND CORE,Security,Sentry from Day 1,Error monitoring active before first feature ships,To Do,Week 1,P0,
BACKEND NEW,AI,POST /api/ai/voice-to-job,Groq Whisper transcription + Gemini job form fill,To Do,Week 2,P1,
BACKEND NEW,AI,POST /api/ai/generate-job,Text → structured job fields via Gemini,To Do,Week 2,P1,
BACKEND NEW,AI,POST /api/ai/generate-bio,Auto-write Local Expert bio,To Do,Week 2,P1,
BACKEND NEW,AI,POST /api/ai/describe-cert,Gemini Vision reads cert image → auto-fill fields,To Do,Week 2,P1,
BACKEND NEW,AI,POST /api/ai/photo-to-job,Job site photo → title/category/description,To Do,Week 2,P1,
BACKEND NEW,AI,GET /api/ai/suggest-price,MongoDB aggregation → price range by skill + pincode,To Do,Week 2,P1,
BACKEND NEW,Chat,GET /api/chat/{id}/messages,Returns last 50 messages sorted by time,To Do,Week 2,P0,
BACKEND NEW,Chat,POST /api/chat/{id}/send,Send text / image / voice message,To Do,Week 2,P0,
BACKEND NEW,Chat,GET /api/chat/unread-count,Badge count for tab,To Do,Week 2,P0,
BACKEND NEW,Chat,POST /api/chat/{id}/read-all,Mark all messages as read,To Do,Week 2,P0,
BACKEND NEW,Wallet,GET /api/wallet/balance,Current wallet balance,To Do,Week 2,P0,
BACKEND NEW,Wallet,GET /api/wallet/transactions,Full credit/debit history,To Do,Week 2,P0,
BACKEND NEW,Wallet,Credits award on referral,₹100 to referrer + ₹50 to referred on first booking,To Do,Week 2,P0,
BACKEND NEW,Wallet,Credits deduct on boost,Job boost + priority listing use wallet credits,To Do,Week 2,P1,
BACKEND NEW,Wallet,90-day credit expiry,Automated expiry job runs daily,To Do,Week 2,P0,
BACKEND NEW,Referrals,GET /api/referrals/my-code,Unique 8-char code + shareable URL,To Do,Week 2,P0,
BACKEND NEW,Referrals,GET /api/referrals/stats,Count + total credits earned,To Do,Week 2,P0,
BACKEND NEW,Referrals,Referral tracking on signup,?ref=CODE param tracked and stored,To Do,Week 1,P0,
BACKEND NEW,Referrals,Auto-credit on first booking,Triggers when referred user completes first booking,To Do,Week 2,P0,
BACKEND NEW,Reports,POST /api/reports,Report a Local Expert after a job,To Do,Week 2,P0,
BACKEND NEW,Reports,GET /api/reports/mine,My filed reports,To Do,Week 2,P1,
BACKEND NEW,Reports,Auto-flag on 3 reports,Account flagged automatically,To Do,Week 2,P0,
BACKEND NEW,Payments,POST /api/payments/create-order,Create Razorpay order,To Do,Week 2,P1,
BACKEND NEW,Payments,POST /api/payments/verify,HMAC signature verification — never trust client,To Do,Week 2,P1,
BACKEND NEW,Payments,GET /api/payments/history,All payment records for user,To Do,Week 2,P1,
BACKEND NEW,Jobs,GET /api/jobs/templates,My saved job templates,To Do,Week 2,P1,
BACKEND NEW,Jobs,POST /api/jobs/templates,Save a job as reusable template,To Do,Week 2,P1,
BACKEND NEW,Jobs,DELETE /api/jobs/templates/{id},Delete a template,To Do,Week 2,P1,
BACKEND NEW,Jobs,POST /api/jobs/from-template/{id},Post a real job from template with new date,To Do,Week 2,P1,
BACKEND NEW,Jobs,GET /api/jobs/seasonal,Platform seasonal template suggestions by current month,To Do,Week 2,P2,
BACKEND NEW,Workers,POST /api/workers/me/portfolio,Upload portfolio photo — max 6,To Do,Week 2,P0,
BACKEND NEW,Workers,DELETE /api/workers/me/portfolio/{id},Remove portfolio photo,To Do,Week 2,P0,
BACKEND NEW,Workers,POST /api/workers/me/certifications,Upload cert + AI auto-fill fields,To Do,Week 2,P0,
BACKEND NEW,Workers,DELETE /api/workers/me/certifications/{id},Remove certification,To Do,Week 2,P0,
BACKEND NEW,Workers,POST /api/workers/me/video,Upload 30s intro video,To Do,Week 2,P1,
BACKEND NEW,Workers,POST /api/workers/me/available-now,Broadcast availability to pincode — 4hr expiry,To Do,Week 2,P1,
BACKEND NEW,Workers,POST /api/workers/me/kyc/initiate,Start DigiLocker KYC flow,To Do,Week 3,P2,
BACKEND NEW,Workers,POST /api/workers/me/kyc/verify,Complete KYC verification,To Do,Week 3,P2,
BACKEND NEW,Workers,Waitlist auto-notify,Notify waitlist when Local Expert becomes available,To Do,Week 2,P1,
BACKEND NEW,Auth Endpoints,POST /api/auth/me/save-worker/{id},Toggle save/unsave a Local Expert,To Do,Week 2,P0,
BACKEND NEW,Auth Endpoints,GET /api/auth/me/saved-workers,Return full profiles of saved Local Experts,To Do,Week 2,P0,
BACKEND NEW,Auth Endpoints,POST /api/auth/me/address,Add a saved address,To Do,Week 2,P0,
BACKEND NEW,Auth Endpoints,DELETE /api/auth/me/address/{id},Remove a saved address,To Do,Week 2,P0,
BACKEND NEW,Auth Endpoints,POST /api/auth/me/emergency-contact,Save emergency contact,To Do,Week 2,P0,
BACKEND NEW,Auth Endpoints,POST /api/auth/verify-selfie,Liveness check + profile photo match,To Do,Week 3,P1,
BACKEND NEW,Auth Endpoints,GET /api/auth/me/qr-code,Generate QR code for Local Expert profile,To Do,Week 2,P2,
BACKEND NEW,Engagements,POST /api/engagements/{id}/generate-start-otp,4-digit OTP for job start like Swiggy,To Do,Week 2,P1,
BACKEND NEW,Engagements,POST /api/engagements/{id}/verify-start-otp,Local Expert enters OTP to mark job started,To Do,Week 2,P1,
BACKEND NEW,Engagements,POST /api/engagements/{id}/checkin,GPS verified arrival at job site,To Do,Week 2,P1,
BACKEND NEW,Engagements,POST /api/engagements/{id}/progress,Progress update — text + optional photo,To Do,Week 2,P1,
BACKEND NEW,Engagements,GET /api/engagements/{id}/certificate,Download PDF completion certificate,To Do,Week 2,P1,
BACKEND NEW,Engagements,POST /api/engagements/{id}/re-hire,Quick re-hire same Local Expert,To Do,Week 2,P1,
BACKEND NEW,Notifications,new_message kind,Chat message received,To Do,Week 2,P0,
BACKEND NEW,Notifications,job_progress kind,Local Expert sent a progress update,To Do,Week 2,P1,
BACKEND NEW,Notifications,available_now kind,Saved Local Expert is broadcasting availability,To Do,Week 2,P1,
BACKEND NEW,Notifications,waitlist_available kind,Waitlisted Local Expert is now free,To Do,Week 2,P1,
BACKEND NEW,Notifications,badge_earned kind,New skill badge auto-awarded,To Do,Week 2,P2,
BACKEND NEW,Notifications,wallet_credited kind,Referral reward or bonus added,To Do,Week 2,P0,
BACKEND NEW,Notifications,payment_received kind,Wallet credit received,To Do,Week 2,P1,
BACKEND NEW,Notifications,Nudge notifications,Background job — re-engage inactive users + re-hire reminders,To Do,Week 3,P1,
BACKEND NEW,Notifications,Seasonal suggestions,Monthly background job — suggest seasonal job templates,To Do,Week 4,P2,
BACKEND NEW,PDF Service,backend/pdf_service.py,Completion certificate generation using ReportLab (free),To Do,Week 2,P1,
BACKEND NEW,PDF Service,QR Code generation,qrcode Python library — Local Expert profile QR,To Do,Week 2,P2,
BACKEND NEW,Admin,Admin login with email OR phone,All other users — phone only,To Do,Week 2,P0,
BACKEND NEW,Admin,Reports queue endpoints,View / resolve / dismiss reports with admin note,To Do,Week 2,P0,
BACKEND NEW,Admin,FAQ management endpoints,Add / edit / delete FAQ from admin dashboard,To Do,Week 2,P0,
BACKEND NEW,Admin,Wallet transaction audit,Full wallet ledger visible to admin,To Do,Week 2,P1,
BACKEND NEW,Admin,Referral audit,Who referred whom + credits issued,To Do,Week 2,P1,
BACKEND NEW,Admin,Broadcast push notification,Target by pincode or all users,To Do,Week 2,P1,
BACKEND NEW,Admin,Cert verification,Admin approves Local Expert certifications,To Do,Week 2,P1,
BACKEND NEW,Admin,KYC approval,Admin verifies KYC submissions,To Do,Week 3,P2,
BACKEND NEW,Admin,User management,Ban / flag / verify / view wallet,To Do,Week 2,P0,
MOBILE,Navigation,Unified tab bar,Single tab bar for all logged-in users — no role branching,To Do,Week 3,P0,
MOBILE,Navigation,Guest tab bar,Separate minimal tabs for logged-out users,To Do,Week 3,P0,
MOBILE,Navigation,Deep link config,kaamnow://engagement/:id and kaamnow://chat/:id,To Do,Week 3,P0,
MOBILE,Screens Delete,RoleSelectionScreen.js,Removed — no role at signup,To Do,Week 3,P0,
MOBILE,Screens Delete,CustomerOnboardingScreen.js,Merged into ProfileScreen,To Do,Week 3,P0,
MOBILE,Screens Delete,WorkerOnboardingScreen.js,Merged into ProfileScreen,To Do,Week 3,P0,
MOBILE,Screens Delete,CustomerProfileScreen.js,Merged into ProfileScreen,To Do,Week 3,P0,
MOBILE,Screens Delete,WorkerMyProfileScreen.js,Merged into ProfileScreen,To Do,Week 3,P0,
MOBILE,Screens New,ProfileScreen.js,Unified: customer info + Become a Local Expert + expert profile,To Do,Week 3,P0,
MOBILE,Screens New,EngagementDetailScreen.js,All engagement actions from notification tap,To Do,Week 3,P0,
MOBILE,Screens New,ChatScreen.js,In-app messages within engagement,To Do,Week 3,P0,
MOBILE,Screens New,NotificationsScreen.js,Full notification list with deep links,To Do,Week 3,P0,
MOBILE,Screens New,EarningsScreen.js,Earnings calendar + goal + history,To Do,Week 3,P1,
MOBILE,Screens New,MapScreen.js,Local Experts near me on react-native-maps,To Do,Week 3,P1,
MOBILE,Screens New,WalletScreen.js,Balance + transaction history + refer & earn,To Do,Week 3,P0,
MOBILE,Screens New,SavedAddressesScreen.js,Manage saved addresses,To Do,Week 3,P1,
MOBILE,Screens New,QRCodeScreen.js,Local Expert shareable QR code,To Do,Week 3,P2,
MOBILE,Screens New,FAQScreen.js,Unified searchable FAQ in EN + HI,To Do,Week 3,P0,
MOBILE,Screens New,TermsScreen.js,T&C in-app — plain English + Hindi,To Do,Week 3,P0,
MOBILE,Screens New,PrivacyScreen.js,Privacy Policy in-app — plain English + Hindi,To Do,Week 3,P0,
MOBILE,Screens Modify,LandingScreen.js,Split into GuestHome + UserHome — remove all role branches,To Do,Week 3,P0,
MOBILE,Screens Modify,LoginScreen.js,Remove role step + add gender + add T&C acceptance checkbox,To Do,Week 3,P0,
MOBILE,Screens Modify,PostJobScreen.js,Add voice + photo-to-job + GPS + urgency chips + recurrence + anonymous toggle,To Do,Week 3,P0,
MOBILE,Screens Modify,WorkerJobFeedScreen.js,Become a Local Expert CTA for non-experts + filters,To Do,Week 3,P0,
MOBILE,Screens Modify,MarketplaceScreen.js,Filters + GPS near-me + map tab + waitlist button,To Do,Week 3,P1,
MOBILE,Screens Modify,DashboardScreen.js,Unify for both roles — remove role branch + progress updates feed,To Do,Week 3,P0,
MOBILE,Components,BecomeExpertSheet.js,Bottom sheet: skills + rate + GPS in 3 steps,To Do,Week 3,P0,
MOBILE,Components,GuestHome.js,Extracted from LandingScreen,To Do,Week 3,P0,
MOBILE,Components,UserHome.js,Extracted from LandingScreen,To Do,Week 3,P0,
MOBILE,Components,ProgressUpdateCard.js,Job progress update display (on-my-way / started / done),To Do,Week 3,P1,
MOBILE,Components,WalletBadge.js,Balance shown in header,To Do,Week 3,P0,
MOBILE,Components,SkillBadge.js,Auto-awarded badge chip display,To Do,Week 3,P2,
MOBILE,Components,QRCodeCard.js,QR code display + share,To Do,Week 3,P2,
MOBILE,Components,SavedAddressPicker.js,Reusable in PostJob + BecomeExpertSheet,To Do,Week 3,P1,
MOBILE,Components,BeforeAfterPhotos.js,Upload before/after photos in engagement,To Do,Week 3,P1,
MOBILE,Components,EarningsGoalCard.js,Set goal + show progress bar,To Do,Week 3,P1,
MOBILE,Components,OnboardingWalkthrough.js,3-slide first-time tutorial — dismissable never shown again,To Do,Week 3,P0,
MOBILE,Features,i18n translations.js,ALL strings EN + HI + Bhojpuri + Maithili — zero hardcoded strings,To Do,Week 3,P0,
MOBILE,Features,useTranslation() hook,Every string in every screen goes through t(key),To Do,Week 3,P0,
MOBILE,Features,Language toggle in AppHeader,EN | हिं | भोज | मैथ,To Do,Week 3,P0,
MOBILE,Features,GPS integration (expo-location),BecomeExpertSheet + PostJobScreen + MarketplaceScreen,To Do,Week 3,P0,
MOBILE,Features,react-native-maps,MapScreen + on-my-way + job location pin,To Do,Week 3,P1,
MOBILE,Features,Voice input (expo-av),PostJobScreen mic + ChatScreen voice message,To Do,Week 3,P1,
MOBILE,Features,Selfie verification,Camera flow on profile setup — ML Kit liveness detection,To Do,Week 3,P1,
MOBILE,Features,On-my-way tracking (simple),GPS snapshot → Google Maps link sent to customer,To Do,Week 3,P1,
MOBILE,Features,Job progress update buttons,On My Way / Work Started / Progress Photo / Done,To Do,Week 3,P1,
MOBILE,Features,OTP entry for job start,Customer receives OTP — Local Expert enters to start job,To Do,Week 3,P1,
MOBILE,Features,GPS check-in on job start,Verifies Local Expert within 500m of job site,To Do,Week 3,P1,
MOBILE,Features,Before/After photo upload,Up to 3 before + 3 after photos in engagement,To Do,Week 3,P1,
MOBILE,Features,Completion certificate download,Auto-generated PDF receipt after job,To Do,Week 3,P1,
MOBILE,Features,Quick re-hire,One-tap hire same Local Expert from history,To Do,Week 3,P1,
MOBILE,Features,Available Now button,Local Expert broadcasts availability to pincode — 4hr expiry,To Do,Week 3,P1,
MOBILE,Features,Post Job Anonymous toggle,Customer hidden until Local Expert selected,To Do,Week 3,P1,
MOBILE,Features,Seasonal template suggestions,Auto-suggested job templates on PostJobScreen by month,To Do,Week 4,P2,
MOBILE,Features,Waitlist join button,Join waitlist for a fully booked Local Expert,To Do,Week 3,P1,
MOBILE,Features,Earnings goal setup,Set monthly target + see progress bar,To Do,Week 3,P1,
MOBILE,Features,Nudge notification handler,Deep link routing for smart re-engagement notifications,To Do,Week 4,P1,
MOBILE,Features,T&C acceptance at signup,Mandatory checkbox + timestamp stored,To Do,Week 3,P0,Legal
MOBILE,Features,First-time walkthrough,3 slides — shown once on first open then never again,To Do,Week 3,P0,
MOBILE,Features,PostHog events,signup / become_expert / post_job / apply / chat / referral_shared,To Do,Week 4,P1,
MOBILE,Features,Sentry error boundary,Wraps entire app — active from Day 1,To Do,Week 3,P0,
MOBILE,Features,Video profile upload,30s intro video for Local Expert profile,To Do,Week 3,P1,
MOBILE,Features,In-app QR code,Local Expert scans to share profile,To Do,Week 3,P2,
MOBILE,Features,Saved addresses,Multiple addresses with labels — auto-suggest in PostJob,To Do,Week 3,P1,
MOBILE,Features,Emergency contact storage,Stored per user — used if safety incident reported,To Do,Week 3,P1,
FRONTEND,Cleanup,Delete WorkerSetup.jsx,Legacy page — removed,To Do,Week 4,P0,
FRONTEND,Cleanup,Delete Strategy.jsx,Not user-facing,To Do,Week 4,P0,
FRONTEND,Cleanup,Remove deleted routes,/worker/setup and /strategy from App.js,To Do,Week 4,P0,
FRONTEND,i18n,frontend/src/i18n/translations.js,All web strings EN + HI — zero hardcoded strings,To Do,Week 4,P0,
FRONTEND,i18n,Language toggle in Navbar,EN | हिं — visible at all times,To Do,Week 4,P0,
FRONTEND,Auth,Update all role checks,user.role → user.is_worker / user.is_customer,To Do,Week 4,P0,
FRONTEND,Auth,Remove role from signup,No role selection step on web,To Do,Week 4,P0,
FRONTEND,Auth,T&C checkbox on signup,Mandatory acceptance before account created,To Do,Week 4,P0,
FRONTEND,New Pages,Chat.jsx,Web chat within engagement,To Do,Week 4,P1,
FRONTEND,New Pages,EngagementDetail.jsx,Engagement actions on web,To Do,Week 4,P1,
FRONTEND,New Pages,Earnings.jsx,Worker earnings using Recharts (already installed),To Do,Week 4,P1,
FRONTEND,New Pages,Wallet.jsx,Balance + transactions on web,To Do,Week 4,P1,
FRONTEND,New Pages,FAQ.jsx,Unified searchable FAQ,To Do,Week 4,P0,
FRONTEND,New Pages,Terms.jsx,T&C in-app — plain English + Hindi,To Do,Week 4,P0,
FRONTEND,New Pages,Privacy.jsx,Privacy Policy in-app — plain English + Hindi,To Do,Week 4,P0,
FRONTEND,Enhance,PostJob.jsx,Voice button + photo-to-job + AI form fill,To Do,Week 4,P1,
FRONTEND,Analytics,PostHog + Sentry,Events + error monitoring on web,To Do,Week 4,P1,
INTEGRATIONS,AI,Google Gemini Flash,Text + vision — free 1500 req/day,To Do,Week 2,P0,
INTEGRATIONS,AI,Groq Whisper,Voice transcription — free 8hrs/day,To Do,Week 2,P0,
INTEGRATIONS,Database,MongoDB Atlas kaamnow-dev,Dev database — free tier,To Do,Week 1,P0,Already set up
INTEGRATIONS,Media,Cloudinary,Photos + videos + certs + portfolio + voice clips — free 25GB,To Do,Week 1,P0,Already set up
INTEGRATIONS,Push,Expo Push Notifications,Free — already set up,To Do,Week 1,P0,Already working
INTEGRATIONS,Payments,Razorpay test mode,Payment processing — free test mode,To Do,Week 2,P1,
INTEGRATIONS,Support,Chatwoot self-hosted,Customer support chat on existing k8s cluster — free,To Do,Week 2,P0,
INTEGRATIONS,KYC,DigiLocker API,Govt KYC verification — free,To Do,Week 3,P2,
INTEGRATIONS,PDF,ReportLab,PDF certificate generation — free Python library,To Do,Week 2,P1,
INTEGRATIONS,Analytics,PostHog,Product analytics — free 1M events/month,To Do,Week 1,P0,
INTEGRATIONS,Monitoring,Sentry,Error monitoring — free tier,To Do,Week 1,P0,
INTEGRATIONS,QR,qrcode Python library,QR code generation — free,To Do,Week 2,P2,
INTEGRATIONS,Liveness,ML Kit,On-device selfie liveness — free,To Do,Week 3,P1,
LEGAL,T&C,Terms & Conditions screen,In-app screen — plain English + Hindi — lawyer to review,To Do,Week 3,P0,Lawyer needed before launch
LEGAL,Privacy,Privacy Policy screen,In-app screen — plain English + Hindi — lawyer to review,To Do,Week 3,P0,Lawyer needed before launch
LEGAL,Acceptance,T&C version stored on user,For future policy updates,To Do,Week 1,P0,
LEGAL,FAQ,Unified FAQ,Searchable — admin-managed — EN + HI — single page,To Do,Week 3,P0,
LEGAL,Reports,Report an Issue with Local Expert,After-job report goes to admin review queue,To Do,Week 2,P0,Different from dispute
LEGAL,Safety,Emergency Contact,Stored per user — admin can access if incident reported,To Do,Week 3,P1,
DEPLOYMENT,Dev,deploy-dev.sh,Separate dev deployment script — kaamnow-dev namespace,To Do,Week 2,P0,
DEPLOYMENT,Dev,deploy/k8s/dev/ manifests,Dev namespace manifests separate from prod,To Do,Week 2,P0,
DEPLOYMENT,Dev,Chatwoot k8s service,Add Chatwoot as service in dev cluster,To Do,Week 2,P0,
DEPLOYMENT,Dev,.env.dev.example,All env vars documented with descriptions,To Do,Week 1,P0,
DEPLOYMENT,Dev,Feature flags,FEATURE_AI / FEATURE_CHAT / FEATURE_VOICE / FEATURE_PAYMENTS,To Do,Week 1,P0,
DEPLOYMENT,Graphify,graphify update,Run after all changes to rebuild knowledge graph,To Do,Week 4,P1,
PARKED,Later,Safety Incident formal flow,Formal safety reporting system — not in v2,Parked,Future,P3,
PARKED,Later,Surge Alert,High demand notifications — not in v2,Parked,Future,P3,
PARKED,Later,App Lock / PIN,Not needed right now,Parked,Future,P3,
PARKED,Later,Live GPS tracking,Upgrade from simple snapshot version,Parked,Future,P2,
PARKED,Later,Dark Mode,Quality of life — not in v2,Parked,Future,P3,
PARKED,Later,Missed-call job posting,Call a number and we post job for you,Parked,Future,P3,
PARKED,Later,Job extension mid-booking,Add another day from within the app,Parked,Future,P2,
